Date,TED_Subscribers,TED_Views,TEDx_Subscribers,TEDx_Views,TEDEd_Subscribers,TEDEd_Views
12/27/17,"8,640,554","949,556,620","10,132,388","1,977,817,137","5,599,119","806,611,236"
12/28/17,"8,648,717","950,180,787","10,145,303","1,980,224,258","5,605,097","807,290,552"
12/29/17,"8,656,213","950,778,199","10,162,828","1,982,747,490","5,610,252","807,930,129"
12/30/17,"8,664,163","951,384,860","10,178,795","1,985,296,682","5,616,612","808,618,615"
12/31/17,"8,670,817","951,916,621","10,190,566","1,987,445,371","5,621,778","809,235,618"
1/1/18,"8,678,001","952,497,999","10,204,626","1,989,636,748","5,626,860","809,822,845"
1/2/18,"8,686,164","953,295,807","10,219,394","1,992,380,154","5,633,414","810,715,328"
1/3/18,"8,696,006","954,173,172","10,230,750","1,995,023,452","5,641,758","811,764,343"
1/4/18,"8,705,823","955,013,352","10,251,547","1,997,785,808","5,650,433","812,708,587"
1/5/18,"8,715,441","955,909,419","10,267,141","2,000,552,163","5,657,591","813,623,686"
1/6/18,"8,725,590","956,690,640","10,286,408","2,002,930,596","5,664,176","814,422,303"
1/7/18,"8,736,075","957,515,940","10,303,802","2,005,637,069","5,672,072","815,277,095"
1/8/18,"8,745,426","958,351,151","10,318,956","2,008,300,132","5,678,587","816,158,692"
1/9/18,"8,755,622","959,130,952","10,337,289","2,010,789,353","5,685,816","817,047,974"
1/10/18,"8,764,858","959,941,442","10,352,481","2,013,513,518","5,692,467","817,927,904"
1/11/18,"8,770,033","960,741,702","10,370,627","2,016,225,398","5,695,251","818,879,054"
1/12/18,"8,778,016","961,499,585","10,382,145","2,018,902,180","5,701,295","819,847,522"
1/13/18,"8,786,241","962,218,775","10,394,264","2,021,132,502","5,707,886","820,759,549"
1/14/18,"8,795,996","962,929,570","10,413,630","2,023,832,474","5,714,601","821,707,420"
1/15/18,"8,805,707","963,713,140","10,428,070","2,026,797,610","5,721,906","822,583,491"
1/16/18,"8,814,366","964,453,263","10,449,263","2,029,410,486","5,727,965","823,409,838"
1/17/18,"8,824,464","965,237,843","10,464,381","2,032,267,460","5,735,157","824,293,574"
1/18/18,"8,833,060","966,004,599","10,483,482","2,034,740,045","5,740,610","825,197,655"
1/19/18,"8,842,035","966,750,143","10,498,615","2,037,281,274","5,747,333","826,039,067"
1/20/18,"8,850,120","967,442,299","10,513,704","2,039,831,773","5,753,159","826,842,992"
1/21/18,"8,859,464","968,139,547","10,529,295","2,042,306,652","5,759,282","827,632,828"
1/22/18,"8,868,164","968,905,407","10,543,942","2,045,035,833","5,764,706","828,622,897"
1/23/18,"8,877,523","969,664,887","10,560,621","2,047,700,719","5,770,899","829,699,716"
1/24/18,"8,886,172","970,467,778","10,575,284","2,050,335,392","5,777,953","830,596,076"
1/25/18,"8,888,473","970,726,091","10,580,980","2,051,184,172","5,779,876","830,950,993"
